frame_idx,model_label,preprocess_ms,inference_ms,postprocess_ms,total_ms,detections,confidence_mean,gpu_mem_mb,cpu_percent
240,yolo_fasternet,2.099,41.255,0.255,43.939,10,0.7302,0.0,51.4
241,yolo_fasternet,1.591,40.981,0.254,43.075,10,0.7336,0.0,51.4
242,yolo_fasternet,1.649,39.781,0.251,41.933,10,0.7184,0.0,51.4
243,yolo_fasternet,1.648,40.304,0.255,42.451,10,0.6834,0.0,50.0
244,yolo_fasternet,1.547,39.614,0.255,41.67,10,0.7119,0.0,51.5
245,yolo_fasternet,1.573,40.458,0.255,42.533,10,0.7307,0.0,54.1
246,yolo_fasternet,1.564,39.763,0.253,41.825,9,0.7318,0.0,50.0
247,yolo_fasternet,1.539,40.715,0.25,42.738,11,0.6547,0.0,52.9
248,yolo_fasternet,2.039,40.003,0.271,42.625,11,0.6469,0.0,51.4
249,yolo_fasternet,1.562,40.624,0.258,42.684,10,0.6732,0.0,51.4
250,yolo_fasternet,1.63,41.327,0.262,43.482,9,0.6974,0.0,51.4
251,yolo_fasternet,2.173,56.202,0.293,58.969,7,0.8274,0.0,53.1
252,yolo_fasternet,1.838,41.242,0.273,43.626,8,0.7527,0.0,51.4
253,yolo_fasternet,2.056,40.262,0.256,42.89,8,0.7865,0.0,52.8
254,yolo_fasternet,2.052,39.777,0.248,42.385,8,0.77,0.0,50.0
255,yolo_fasternet,1.847,47.099,0.248,49.465,7,0.8221,0.0,52.5
256,yolo_fasternet,2.067,40.143,0.251,42.775,7,0.7977,0.0,51.4
257,yolo_fasternet,1.582,39.805,0.254,41.881,8,0.7452,0.0,52.9
258,yolo_fasternet,1.616,39.875,0.251,41.992,8,0.758,0.0,51.4
259,yolo_fasternet,2.062,40.147,0.259,42.771,7,0.8068,0.0,52.8
260,yolo_fasternet,2.034,40.103,0.25,42.694,7,0.8084,0.0,52.9
261,yolo_fasternet,1.566,40.308,0.258,42.372,7,0.8199,0.0,50.0
262,yolo_fasternet,1.55,39.938,0.261,41.994,6,0.8854,0.0,51.4
263,yolo_fasternet,1.564,40.552,0.251,42.613,7,0.8081,0.0,51.5
264,yolo_fasternet,2.053,39.59,0.254,42.231,7,0.8164,0.0,52.8
265,yolo_fasternet,1.58,39.85,0.249,41.927,7,0.8323,0.0,50.0
266,yolo_fasternet,1.564,43.971,0.256,46.043,8,0.7546,0.0,57.9
