frame_idx,model_label,preprocess_ms,inference_ms,postprocess_ms,total_ms,detections,confidence_mean,gpu_mem_mb,cpu_percent
261,yolo26n,1.544,58.086,0.215,60.088,8,0.6457,0.0,53.2
262,yolo26n,1.336,48.311,0.205,50.07,8,0.6416,0.0,51.2
263,yolo26n,1.311,49.029,0.223,50.772,8,0.635,0.0,51.2
264,yolo26n,1.547,54.578,0.199,56.577,10,0.556,0.0,52.2
265,yolo26n,1.392,50.713,0.217,52.56,10,0.5608,0.0,53.5
266,yolo26n,1.454,51.549,0.204,53.425,8,0.6384,0.0,53.5
267,yolo26n,1.919,61.799,0.256,64.216,9,0.5973,0.0,63.5
268,yolo26n,1.761,53.218,0.23,55.49,9,0.5966,0.0,57.8
269,yolo26n,1.703,49.41,0.204,51.582,10,0.5536,0.0,51.2
270,yolo26n,1.419,49.347,0.218,51.199,9,0.5878,0.0,52.4
271,yolo26n,1.34,48.26,0.205,50.018,9,0.5217,0.0,51.2
272,yolo26n,1.656,49.015,0.203,51.136,10,0.5381,0.0,51.2
273,yolo26n,1.338,48.56,0.207,50.33,9,0.5735,0.0,51.2
274,yolo26n,1.332,48.52,0.208,50.274,9,0.6505,0.0,50.0
275,yolo26n,1.304,49.637,0.208,51.378,9,0.6559,0.0,52.4
276,yolo26n,1.376,48.49,0.214,50.31,9,0.6613,0.0,50.0
277,yolo26n,1.7,48.57,0.204,50.734,9,0.662,0.0,52.4
278,yolo26n,1.338,48.478,0.216,50.256,9,0.6548,0.0,50.0
279,yolo26n,1.352,48.523,0.202,50.29,9,0.6533,0.0,51.2
280,yolo26n,1.662,49.014,0.205,51.142,10,0.6113,0.0,51.2
281,yolo26n,1.399,48.417,0.204,50.233,10,0.5999,0.0,51.2
282,yolo26n,1.35,48.366,0.205,50.132,10,0.6062,0.0,51.2
283,yolo26n,1.328,48.965,0.205,50.722,9,0.6093,0.0,50.0
284,yolo26n,1.476,53.716,0.247,55.689,8,0.6207,0.0,53.3
285,yolo26n,1.508,49.832,0.236,51.86,8,0.63,0.0,52.4
286,yolo26n,1.385,49.133,0.218,50.959,8,0.6152,0.0,51.2
287,yolo26n,1.476,54.916,0.208,56.827,10,0.5671,0.0,53.2
288,yolo26n,1.667,48.383,0.202,50.524,9,0.61,0.0,50.0
289,yolo26n,1.344,48.169,0.202,49.931,9,0.5982,0.0,51.2
290,yolo26n,1.297,48.128,0.212,49.847,9,0.6003,0.0,50.0
291,yolo26n,1.329,48.228,0.218,49.992,8,0.6248,0.0,51.2
292,yolo26n,1.347,51.324,0.206,53.097,9,0.5627,0.0,53.5
